PERMNO,date,TICKER,CUSIP,RET
86111,01/31/2013,AMT,03027X10,-0.014495
86111,02/28/2013,AMT,03027X10,0.019041
86111,03/28/2013,AMT,03027X10,-0.008763
86111,04/30/2013,AMT,03027X10,0.095294
86111,05/31/2013,AMT,03027X10,-0.073223
86111,06/28/2013,AMT,03027X10,-0.056526
86111,07/31/2013,AMT,03027X10,-0.032527
86111,08/30/2013,AMT,03027X10,-0.018364
86111,09/30/2013,AMT,03027X10,0.070802
86111,10/31/2013,AMT,03027X10,0.070417
86111,11/29/2013,AMT,03027X10,-0.019912
86111,12/31/2013,AMT,03027X10,0.030089
86111,01/31/2014,AMT,03027X10,0.01328
86111,02/28/2014,AMT,03027X10,0.007295
86111,03/31/2014,AMT,03027X10,0.00491
86111,04/30/2014,AMT,03027X10,0.024062
86111,05/30/2014,AMT,03027X10,0.073156
86111,06/30/2014,AMT,03027X10,0.007698
86111,07/31/2014,AMT,03027X10,0.049011
86111,08/29/2014,AMT,03027X10,0.044602
86111,09/30/2014,AMT,03027X10,-0.046755
86111,10/31/2014,AMT,03027X10,0.041333
86111,11/28/2014,AMT,03027X10,0.077026
86111,12/31/2014,AMT,03027X10,-0.055042
86111,01/30/2015,AMT,03027X10,-0.019221
86111,02/27/2015,AMT,03027X10,0.022589
86111,03/31/2015,AMT,03027X10,-0.050333
86111,04/30/2015,AMT,03027X10,0.008497
86111,05/29/2015,AMT,03027X10,-0.018407
86111,06/30/2015,AMT,03027X10,0.01013
86111,07/31/2015,AMT,03027X10,0.019509
86111,08/31/2015,AMT,03027X10,-0.030701
86111,09/30/2015,AMT,03027X10,-0.040677
86111,10/30/2015,AMT,03027X10,0.161969
86111,11/30/2015,AMT,03027X10,-0.027878
86111,12/31/2015,AMT,03027X10,-0.019521
86111,01/29/2016,AMT,03027X10,-0.026921
86111,02/29/2016,AMT,03027X10,-0.022684
86111,03/31/2016,AMT,03027X10,0.110304
86111,04/29/2016,AMT,03027X10,0.029501
86111,05/31/2016,AMT,03027X10,0.008581
86111,06/30/2016,AMT,03027X10,0.079032
86111,07/29/2016,AMT,03027X10,0.019012
86111,08/31/2016,AMT,03027X10,-0.020644
86111,09/30/2016,AMT,03027X10,0.00441
86111,10/31/2016,AMT,03027X10,0.03406
86111,11/30/2016,AMT,03027X10,-0.127315
86111,12/30/2016,AMT,03027X10,0.039014
86111,01/31/2017,AMT,03027X10,-0.020628
86111,02/28/2017,AMT,03027X10,0.109082
86111,03/31/2017,AMT,03027X10,0.058803
86111,04/28/2017,AMT,03027X10,0.041303
86111,05/31/2017,AMT,03027X10,0.041687
86111,06/30/2017,AMT,03027X10,0.013492
86111,07/31/2017,AMT,03027X10,0.030305
86111,08/31/2017,AMT,03027X10,0.085968
86111,09/29/2017,AMT,03027X10,-0.07234
86111,10/31/2017,AMT,03027X10,0.051141
86111,11/30/2017,AMT,03027X10,0.00181
86111,12/29/2017,AMT,03027X10,-0.003891
86111,01/31/2018,AMT,03027X10,0.035256
86111,02/28/2018,AMT,03027X10,-0.056669
86111,03/29/2018,AMT,03027X10,0.043135
86111,04/30/2018,AMT,03027X10,-0.056626
86111,05/31/2018,AMT,03027X10,0.01474
86111,06/29/2018,AMT,03027X10,0.047481
86111,07/31/2018,AMT,03027X10,0.028231
86111,08/31/2018,AMT,03027X10,0.005936
86111,09/28/2018,AMT,03027X10,-0.020319
86111,10/31/2018,AMT,03027X10,0.072333
86111,11/30/2018,AMT,03027X10,0.055709
86111,12/31/2018,AMT,03027X10,-0.033194
86111,01/31/2019,AMT,03027X10,0.09261
86111,02/28/2019,AMT,03027X10,0.019151
86111,03/29/2019,AMT,03027X10,0.118706
86111,04/30/2019,AMT,03027X10,-0.004364
86111,05/31/2019,AMT,03027X10,0.068971
86111,06/28/2019,AMT,03027X10,-0.016286
86111,07/31/2019,AMT,03027X10,0.03507
86111,08/30/2019,AMT,03027X10,0.087752
86111,09/30/2019,AMT,03027X10,-0.035232
86111,10/31/2019,AMT,03027X10,-0.013793
86111,11/29/2019,AMT,03027X10,-0.018571
86111,12/31/2019,AMT,03027X10,0.078494
86111,01/31/2020,AMT,03027X10,0.008354
86111,02/28/2020,AMT,03027X10,-0.021317
86111,03/31/2020,AMT,03027X10,-0.039903
86111,04/30/2020,AMT,03027X10,0.097956
86111,05/29/2020,AMT,03027X10,0.084748
86111,06/30/2020,AMT,03027X10,0.005694
86111,07/31/2020,AMT,03027X10,0.011023
86111,08/31/2020,AMT,03027X10,-0.046827
86111,09/30/2020,AMT,03027X10,-0.025206
86111,10/30/2020,AMT,03027X10,-0.049973
86111,11/30/2020,AMT,03027X10,0.006749
86111,12/31/2020,AMT,03027X10,-0.023919
86111,01/29/2021,AMT,03027X10,0.01292
86111,02/26/2021,AMT,03027X10,-0.049393
86111,03/31/2021,AMT,03027X10,0.106094
86111,04/30/2021,AMT,03027X10,0.070903
86111,05/28/2021,AMT,03027X10,0.002708
86111,06/30/2021,AMT,03027X10,0.062436
86111,07/30/2021,AMT,03027X10,0.046864
86111,08/31/2021,AMT,03027X10,0.033133
86111,09/30/2021,AMT,03027X10,-0.087107
86111,10/29/2021,AMT,03027X10,0.062394
86111,11/30/2021,AMT,03027X10,-0.069121
86111,12/31/2021,AMT,03027X10,0.119666
86136,01/31/2011,SRE,81685110,-0.007812
86136,02/28/2011,SRE,81685110,0.022278
86136,03/31/2011,SRE,81685110,0.01409
86136,04/29/2011,SRE,81685110,0.029907
86136,05/31/2011,SRE,81685110,0.00127
86136,06/30/2011,SRE,81685110,-0.032808
86136,07/29/2011,SRE,81685110,-0.041415
86136,08/31/2011,SRE,81685110,0.036102
86136,09/30/2011,SRE,81685110,-0.010282
86136,10/31/2011,SRE,81685110,0.043301
86136,11/30/2011,SRE,81685110,-0.01005
86136,12/30/2011,SRE,81685110,0.043053
86136,01/31/2012,SRE,81685110,0.034545
86136,02/29/2012,SRE,81685110,0.041125
86136,03/30/2012,SRE,81685110,0.022282
86136,04/30/2012,SRE,81685110,0.07972
86136,05/31/2012,SRE,81685110,0.004171
86136,06/29/2012,SRE,81685110,0.068759
86136,07/31/2012,SRE,81685110,0.022213
86136,08/31/2012,SRE,81685110,-0.059793
86136,09/28/2012,SRE,81685110,-0.016767
86136,10/31/2012,SRE,81685110,0.081563
86136,11/30/2012,SRE,81685110,-0.019068
86136,12/31/2012,SRE,81685110,0.045601
86136,01/31/2013,SRE,81685110,0.057936
86136,02/28/2013,SRE,81685110,0.036109
86136,03/28/2013,SRE,81685110,0.036137
86136,04/30/2013,SRE,81685110,0.036402
86136,05/31/2013,SRE,81685110,-0.018708
86136,06/28/2013,SRE,81685110,0.013407
86136,07/31/2013,SRE,81685110,0.071795
86136,08/30/2013,SRE,81685110,-0.036631
86136,09/30/2013,SRE,81685110,0.02144
86136,10/31/2013,SRE,81685110,0.06472
86136,11/29/2013,SRE,81685110,-0.029625
86136,12/31/2013,SRE,81685110,0.022049
86136,01/31/2014,SRE,81685110,0.032865
86136,02/28/2014,SRE,81685110,0.018984
86136,03/31/2014,SRE,81685110,0.031227
86136,04/30/2014,SRE,81685110,0.019119
86136,05/30/2014,SRE,81685110,0.017645
86136,06/30/2014,SRE,81685110,0.050025
86136,07/31/2014,SRE,81685110,-0.047751
86136,08/29/2014,SRE,81685110,0.062782
86136,09/30/2014,SRE,81685110,0.000661
86136,10/31/2014,SRE,81685110,0.043841
86136,11/28/2014,SRE,81685110,0.015727
86136,12/31/2014,SRE,81685110,0.002596
86136,01/30/2015,SRE,81685110,0.005029
86136,02/27/2015,SRE,81685110,-0.026984
86136,03/31/2015,SRE,81685110,0.014048
86136,04/30/2015,SRE,81685110,-0.026142
86136,05/29/2015,SRE,81685110,0.012245
86136,06/30/2015,SRE,81685110,-0.072858
86136,07/31/2015,SRE,81685110,0.028704
86136,08/31/2015,SRE,81685110,-0.068088
86136,09/30/2015,SRE,81685110,0.027095
86136,10/30/2015,SRE,81685110,0.05883
86136,11/30/2015,SRE,81685110,-0.031052
86136,12/31/2015,SRE,81685110,-0.045551
86136,01/29/2016,SRE,81685110,0.007871
86136,02/29/2016,SRE,81685110,0.018575
86136,03/31/2016,SRE,81685110,0.08595
86136,04/29/2016,SRE,81685110,-0.006728
86136,05/31/2016,SRE,81685110,0.036478
86136,06/30/2016,SRE,81685110,0.071462
86136,07/29/2016,SRE,81685110,-0.018769
86136,08/31/2016,SRE,81685110,-0.064802
86136,09/30/2016,SRE,81685110,0.031683
86136,10/31/2016,SRE,81685110,-0.00084
86136,11/30/2016,SRE,81685110,-0.068161
86136,12/30/2016,SRE,81685110,0.015982
86136,01/31/2017,SRE,81685110,0.017389
86136,02/28/2017,SRE,81685110,0.077156
86136,03/31/2017,SRE,81685110,0.009362
86136,04/28/2017,SRE,81685110,0.022805
86136,05/31/2017,SRE,81685110,0.030703
86136,06/30/2017,SRE,81685110,-0.032106
86136,07/31/2017,SRE,81685110,0.009601
86136,08/31/2017,SRE,81685110,0.043536
86136,09/29/2017,SRE,81685110,-0.025248
86136,10/31/2017,SRE,81685110,0.029528
86136,11/30/2017,SRE,81685110,0.029702
86136,12/29/2017,SRE,81685110,-0.109493
86136,01/31/2018,SRE,81685110,0.000935
86136,02/28/2018,SRE,81685110,0.018314
86136,03/29/2018,SRE,81685110,0.028767
86136,04/30/2018,SRE,81685110,0.005215
86136,05/31/2018,SRE,81685110,-0.047138
86136,06/29/2018,SRE,81685110,0.098329
86136,07/31/2018,SRE,81685110,-0.004479
86136,08/31/2018,SRE,81685110,0.004239
86136,09/28/2018,SRE,81685110,-0.012362
86136,10/31/2018,SRE,81685110,-0.031912
86136,11/30/2018,SRE,81685110,0.046313
86136,12/31/2018,SRE,81685110,-0.053246
86136,01/31/2019,SRE,81685110,0.081246
86136,02/28/2019,SRE,81685110,0.029578
86136,03/29/2019,SRE,81685110,0.053035
86136,04/30/2019,SRE,81685110,0.016606
86136,05/31/2019,SRE,81685110,0.027354
86136,06/28/2019,SRE,81685110,0.045569
86136,07/31/2019,SRE,81685110,-0.007585
86136,08/30/2019,SRE,81685110,0.04578
86136,09/30/2019,SRE,81685110,0.049054
86136,10/31/2019,SRE,81685110,-0.021001
86136,11/29/2019,SRE,81685110,0.019099
86136,12/31/2019,SRE,81685110,0.035156
86136,01/31/2020,SRE,81685110,0.06047
86136,02/28/2020,SRE,81685110,-0.129856
86136,03/31/2020,SRE,81685110,-0.184182
86136,04/30/2020,SRE,81685110,0.096115
86136,05/29/2020,SRE,81685110,0.019863
86136,06/30/2020,SRE,81685110,-0.063613
86136,07/31/2020,SRE,81685110,0.061674
86136,08/31/2020,SRE,81685110,-0.006508
86136,09/30/2020,SRE,81685110,-0.034331
86136,10/30/2020,SRE,81685110,0.059142
86136,11/30/2020,SRE,81685110,0.016911
86136,12/31/2020,SRE,81685110,0.007648
86136,01/29/2021,SRE,81685110,-0.028648
86136,02/26/2021,SRE,81685110,-0.062864
86136,03/31/2021,SRE,81685110,0.152613
86136,04/30/2021,SRE,81685110,0.037638
86136,05/28/2021,SRE,81685110,-0.01512
86136,06/30/2021,SRE,81685110,-0.022216
86136,07/30/2021,SRE,81685110,-0.00551
86136,08/31/2021,SRE,81685110,0.013088
86136,09/30/2021,SRE,81685110,-0.035963
86136,10/29/2021,SRE,81685110,0.008933
86136,11/30/2021,SRE,81685110,-0.060801
86136,12/31/2021,SRE,81685110,0.112705
86158,01/31/2011,CTSH,19244610,-0.004639
86158,02/28/2011,CTSH,19244610,0.053736
86158,03/31/2011,CTSH,19244610,0.058931
86158,04/29/2011,CTSH,19244610,0.018428
86158,05/31/2011,CTSH,19244610,-0.08275
86158,06/30/2011,CTSH,19244610,-0.035508
86158,07/29/2011,CTSH,19244610,-0.047314
86158,08/31/2011,CTSH,19244610,-0.091885
86158,09/30/2011,CTSH,19244610,-0.01182
86158,10/31/2011,CTSH,19244610,0.160287
86158,11/30/2011,CTSH,19244610,-0.074227
86158,12/30/2011,CTSH,19244610,-0.045137
86158,01/31/2012,CTSH,19244610,0.11569
86158,02/29/2012,CTSH,19244610,-0.01115
86158,03/30/2012,CTSH,19244610,0.084567
86158,04/30/2012,CTSH,19244610,-0.047043
86158,05/31/2012,CTSH,19244610,-0.205646
86158,06/29/2012,CTSH,19244610,0.030043
86158,07/31/2012,CTSH,19244610,-0.053833
86158,08/31/2012,CTSH,19244610,0.132288
86158,09/28/2012,CTSH,19244610,0.087274
86158,10/31/2012,CTSH,19244610,-0.046359
86158,11/30/2012,CTSH,19244610,0.008702
86158,12/31/2012,CTSH,19244610,0.098948
86158,01/31/2013,CTSH,19244610,0.05817
86158,02/28/2013,CTSH,19244610,-0.018035
86158,03/28/2013,CTSH,19244610,-0.001941
86158,04/30/2013,CTSH,19244610,-0.154279
86158,05/31/2013,CTSH,19244610,-0.002315
86158,06/28/2013,CTSH,19244610,-0.031091
86158,07/31/2013,CTSH,19244610,0.155651
86158,08/30/2013,CTSH,19244610,0.012571
86158,09/30/2013,CTSH,19244610,0.120327
86158,10/31/2013,CTSH,19244610,0.058573
86158,11/29/2013,CTSH,19244610,0.080064
86158,12/31/2013,CTSH,19244610,0.075514
86158,01/31/2014,CTSH,19244610,-0.040305
86158,02/28/2014,CTSH,19244610,0.07378
86158,03/31/2014,CTSH,19244610,-0.027484
86158,04/30/2014,CTSH,19244610,-0.053261
86158,05/30/2014,CTSH,19244610,0.014717
86158,06/30/2014,CTSH,19244610,0.006172
86158,07/31/2014,CTSH,19244610,0.002862
86158,08/29/2014,CTSH,19244610,-0.067686
86158,09/30/2014,CTSH,19244610,-0.020993
86158,10/31/2014,CTSH,19244610,0.091132
86158,11/28/2014,CTSH,19244610,0.10522
86158,12/31/2014,CTSH,19244610,-0.024634
86158,01/30/2015,CTSH,19244610,0.027915
86158,02/27/2015,CTSH,19244610,0.154351
86158,03/31/2015,CTSH,19244610,-0.00152
86158,04/30/2015,CTSH,19244610,-0.061709
86158,05/29/2015,CTSH,19244610,0.105569
86158,06/30/2015,CTSH,19244610,-0.056088
86158,07/31/2015,CTSH,19244610,0.032902
86158,08/31/2015,CTSH,19244610,-0.002536
86158,09/30/2015,CTSH,19244610,-0.005243
86158,10/30/2015,CTSH,19244610,0.087845
86158,11/30/2015,CTSH,19244610,-0.051828
86158,12/31/2015,CTSH,19244610,-0.07061
86158,01/29/2016,CTSH,19244610,0.054815
86158,02/29/2016,CTSH,19244610,-0.099984
86158,03/31/2016,CTSH,19244610,0.100386
86158,04/29/2016,CTSH,19244610,-0.069059
86158,05/31/2016,CTSH,19244610,0.052596
86158,06/30/2016,CTSH,19244610,-0.068359
86158,07/29/2016,CTSH,19244610,0.004368
86158,08/31/2016,CTSH,19244610,-0.00087
